"","from","to","num_pixels"
"287",2134,2224,0
"288",2134,2234,0
"289",2134,2324,0
"290",2134,2424,0
"291",2134,3124,0
"292",2134,3134,0
"293",2134,3224,0
"294",2134,3234,0
"295",2134,3324,0
"296",2134,3424,0
"297",2134,4124,0
"298",2134,4134,0
"299",2134,4224,0
"300",2134,4234,0
"301",2134,4324,0
"302",2134,4424,0
"303",2134,5124,0
"304",2134,5134,0
"305",2134,5224,0
"306",2134,5234,0
"307",2134,5324,0
"308",2134,5424,0
"309",2134,7124,0
"310",2134,7134,0
"311",2134,7224,0
"312",2134,7234,0
"313",2134,7324,0
"314",2134,7424,0
"315",2134,8124,0
"316",2134,8224,0
"317",2134,8324,0
"318",2134,8424,0
"319",2134,9124,0
"320",2134,9134,0
"321",2134,9224,0
"322",2134,9234,0
"323",2134,9324,0
"324",2134,9424,0
"325",2134,10124,0
"326",2134,10134,0
"327",2134,10224,0
"328",2134,10234,0
"329",2134,10324,0
"330",2134,10424,0
"331",2224,2124,0
"332",2224,2134,0
"333",2224,2234,0
"334",2224,2324,0
"335",2224,2424,0
"336",2224,3124,0
"337",2224,3134,0
"338",2224,3224,0
"339",2224,3234,0
"340",2224,3324,0
"341",2224,3424,0
"342",2224,4124,0
"343",2224,4134,0
"344",2224,4224,0
"345",2224,4234,0
"346",2224,4324,0
"347",2224,4424,0
"348",2224,5124,0
"349",2224,5134,0
"350",2224,5234,0
"351",2224,5324,0
"352",2224,5424,0
"353",2224,7124,0
"354",2224,7134,0
"355",2224,7234,0
"356",2224,7324,0
"357",2224,7424,0
"358",2224,8124,0
"359",2224,8324,0
"360",2224,8424,0
"361",2224,9124,0
"362",2224,9134,0
"363",2224,9224,0
"364",2224,9234,0
"365",2224,9324,0
"366",2224,9424,0
"367",2224,10124,0
"368",2224,10134,0
"369",2224,10224,0
"370",2224,10234,0
"371",2224,10324,0
"372",2224,10424,0
"373",2234,2124,0
"374",2234,2134,0
"375",2234,2324,0
"376",2234,2424,0
"377",2234,3124,0
"378",2234,3134,0
"379",2234,3224,0
"380",2234,3234,0
"381",2234,3324,0
"382",2234,3424,0
"383",2234,4124,0
"384",2234,4134,0
"385",2234,4224,0
"386",2234,4234,0
"387",2234,4324,0
"388",2234,4424,0
"389",2234,5124,0
"390",2234,5134,0
"391",2234,5224,0
"392",2234,5234,0
"393",2234,5324,0
"394",2234,5424,0
"395",2234,7124,0
"396",2234,7134,0
"397",2234,7224,0
"398",2234,7234,0
"399",2234,7324,0
"400",2234,7424,0
"401",2234,8124,0
"402",2234,8224,0
"403",2234,8324,0
"404",2234,8424,0
"405",2234,9124,0
"406",2234,9134,0
"407",2234,9224,0
"408",2234,9234,0
"409",2234,9324,0
"410",2234,9424,0
"411",2234,10124,0
"412",2234,10134,0
"413",2234,10224,0
"414",2234,10234,0
"415",2234,10324,0
"416",2234,10424,0
"417",2324,2124,0
"418",2324,2134,0
"419",2324,2224,0
"420",2324,2234,0
"421",2324,2424,0
"422",2324,3124,0
"423",2324,3134,0
"424",2324,3224,0
"425",2324,3234,0
"426",2324,3324,0
"427",2324,3424,0
"428",2324,4124,0
"429",2324,4134,0
"430",2324,4224,0
"431",2324,4234,0
"432",2324,4324,0
"433",2324,4424,0
"434",2324,5124,0
"435",2324,5134,0
"436",2324,5224,0
"437",2324,5234,0
"438",2324,5324,0
"439",2324,5424,0
"440",2324,7124,0
"441",2324,7134,0
"442",2324,7224,0
"443",2324,7234,0
"444",2324,7324,0
"445",2324,7424,0
"446",2324,8124,0
"447",2324,8224,0
"448",2324,8324,0
"449",2324,8424,0
"450",2324,9124,0
"451",2324,9134,0
"452",2324,9224,0
"453",2324,9234,0
"454",2324,9324,0
"455",2324,9424,0
"456",2324,10124,0
"457",2324,10134,0
"458",2324,10224,0
"459",2324,10234,0
"460",2324,10324,0
"461",2324,10424,0
"462",2334,2124,0
"463",2334,2134,0
"464",2334,2224,0
"465",2334,2234,0
"466",2334,2424,0
"467",2334,3124,0
"468",2334,3134,0
"469",2334,3224,0
"470",2334,3234,0
"471",2334,3324,0
"472",2334,3424,0
"473",2334,4124,0
"474",2334,4134,0
"475",2334,4224,0
"476",2334,4234,0
"477",2334,4324,0
"478",2334,4424,0
"479",2334,5124,0
"480",2334,5134,0
"481",2334,5224,0
"482",2334,5234,0
"483",2334,5324,0
"484",2334,5424,0
"485",2334,7124,0
"486",2334,7134,0
"487",2334,7224,0
"488",2334,7234,0
"489",2334,7324,0
"490",2334,7424,0
"491",2334,8124,0
"492",2334,8224,0
"493",2334,8324,0
"494",2334,8424,0
"495",2334,9124,0
"496",2334,9134,0
"497",2334,9224,0
"498",2334,9234,0
"499",2334,9324,0
"500",2334,9424,0
"501",2334,10124,0
"502",2334,10134,0
"503",2334,10224,0
"504",2334,10234,0
"505",2334,10324,0
"506",2334,10424,0
"507",2424,2124,0
"508",2424,2134,0
"509",2424,2224,0
"510",2424,2234,0
"511",2424,2324,0
"512",2424,3124,0
"513",2424,3134,0
"514",2424,3224,0
"515",2424,3234,0
"516",2424,3324,0
"517",2424,3424,0
"518",2424,4124,0
"519",2424,4134,0
"520",2424,4224,0
"521",2424,4234,0
"522",2424,4324,0
"523",2424,4424,0
"524",2424,5124,0
"525",2424,5134,0
"526",2424,5224,0
"527",2424,5234,0
"528",2424,5324,0
"529",2424,5424,0
"530",2424,7124,0
"531",2424,7134,0
"532",2424,7224,0
"533",2424,7234,0
"534",2424,7324,0
"535",2424,8124,0
"536",2424,8224,0
"537",2424,8324,0
"538",2424,8424,0
"539",2424,9124,0
"540",2424,9134,0
"541",2424,9224,0
"542",2424,9234,0
"543",2424,9324,0
"544",2424,9424,0
"545",2424,10124,0
"546",2424,10134,0
"547",2424,10224,0
"548",2424,10234,0
"549",2424,10324,0
"550",2424,10424,0
"551",2434,2124,0
"552",2434,2134,0
"553",2434,2224,0
"554",2434,2234,0
"555",2434,2324,0
"556",2434,3124,0
"557",2434,3134,0
"558",2434,3224,0
"559",2434,3234,0
"560",2434,3324,0
"561",2434,3424,0
"562",2434,4124,0
"563",2434,4134,0
"564",2434,4224,0
"565",2434,4234,0
"566",2434,4324,0
"567",2434,4424,0
"568",2434,5124,0
"569",2434,5134,0
"570",2434,5224,0
"571",2434,5234,0
"572",2434,5324,0
"573",2434,5424,0
"574",2434,7124,0
"575",2434,7134,0
"576",2434,7224,0
"577",2434,7234,0
"578",2434,7324,0
"579",2434,7424,0
"580",2434,8124,0
"581",2434,8224,0
"582",2434,8324,0
"583",2434,8424,0
"584",2434,9124,0
"585",2434,9134,0
"586",2434,9224,0
"587",2434,9234,0
"588",2434,9324,0
"589",2434,9424,0
"590",2434,10124,0
"591",2434,10134,0
"592",2434,10224,0
"593",2434,10234,0
"594",2434,10324,0
"595",2434,10424,0
"596",3124,2134,0
"597",3124,2224,0
"598",3124,2234,0
"599",3124,2324,0
"600",3124,2424,0
"601",3124,3134,0
"602",3124,3224,0
"603",3124,3234,0
"604",3124,3324,0
"605",3124,3424,0
"606",3124,4134,0
"607",3124,4224,0
"608",3124,4234,0
"609",3124,4324,0
"610",3124,4424,0
"611",3124,5134,0
"612",3124,5224,0
"613",3124,5234,0
"614",3124,5324,0
"615",3124,5424,0
"616",3124,7134,0
"617",3124,7224,0
"618",3124,7234,0
"619",3124,7324,0
"620",3124,7424,0
"621",3124,8124,0
"622",3124,8224,0
"623",3124,8324,0
"624",3124,8424,0
"625",3124,9134,0
"626",3124,9224,0
"627",3124,9234,0
"628",3124,9324,0
"629",3124,9424,0
"630",3124,10134,0
"631",3124,10224,0
"632",3124,10234,0
"633",3124,10324,0
"634",3124,10424,0
"635",3134,2124,0
"636",3134,2134,0
"637",3134,2224,0
"638",3134,2234,0
"639",3134,2324,0
"640",3134,2424,0
"641",3134,3124,0
"642",3134,3224,0
"643",3134,3234,0
"644",3134,3324,0
"645",3134,3424,0
"646",3134,4124,0
"647",3134,4134,0
"648",3134,4224,0
"649",3134,4234,0
